一一 , 表一個接一個沒有間斷。
阿拉 , 專有名詞。回教徒所信奉的神。
阿 , 普通名詞。一種持續性精神功能障礙的疾病，早期症狀為健忘，隨著病情加重，認知能力會逐漸衰退。「阿茲海默症」的簡省。
阿美族 , 專有名詞。臺灣地區原住民之一，分佈於臺東縱谷及東海岸平原。
阿美族 , 普通名詞。阿美族的文化。
阿 , 表同意的語氣。常用「對阿」、「好阿」、「是阿」。
阿 , 表疑問的語氣，具有緩和的作用。
阿 , 表驚訝的語氣。
附 , 在主要物品中，另外搭配後述次要物品或配件。
附 , 在文件主體外另外加上的次要文件。
附屬 , 形容次要的。
附屬 , 附庸國。
附 , 次要對象緊靠著後述主要對象。
附 , 比喻靈性存在物在後述對象體內控制其言語或行為。
附設 , 附帶設置後述設備或機構。
附贈 , 將物品無條件附帶送給他人。
附身 , 靈性存在物在後述對象體內控制其言語或行為。
附近 , 普通名詞。與參考對象距離近的範圍。
附近 , 普通名詞。與參考數值接近的範圍。
附近 , 與參考時間接近的範圍。
陋 , 形容人或物的外表不好看，不具有美的特質。
陋 , 形容比喻特定對象不合時宜或不好的。
陋 , 形容物體破舊粗劣不精緻。
陋 , 形容缺乏金錢，生活有困難的。
陌生 , 形容因為不常進行後述事件而沒有充分的知識。
陌生 , 形容未經常接觸特定對象而沒有交情的。
降低 , 使特定數量或數目減少。
降低 , 比喻使後述事件的程度降低。
降低 , 比喻特定事件的程度降低。
降 , 使兇猛的對象順從。
降 , 形容比喻使數量或數目減少。
降 , 比喻不在預期中的事件發生在特定對象上。
降 , 比喻來自未知世界的靈性存在物來到人間，並以特定形式存在。
降 , 比喻將特定對象原有的等級或地位降低。
降 , 比喻特定對象原有的等級或地位變低。
降水 , 雲層的水以特定形態降到地上。
降 , 物體由較高處往低處垂直移動。
降雨 , 雲層的水以水滴的形態降到地上。
降 , 雲層的水以特定形態降到地上。
降 , 飛行器降至地面。
限制 , 以規定來約束或控制後述對象。
限制 , 普通名詞。用來約束或控制特定對象的界限。
限制 , 普通名詞。用來約束或控制特定對象的規定。
陛下 , 代指君主。
陛下 , 普通名詞。稱謂詞。君主。
陡峭 , 形容坡度很大近於垂直，常用於形容山勢。
陡 , 形容坡度大。
院 , 地方詞。圍牆內環繞房屋四周的空地。常用接尾詞。
院 , 地方詞。指所有診治病患的醫療機構。
院 , 地方詞。接尾詞。用於以前述功能為主的特定營業場所的名稱。
院士 , 普通名詞。國家學術機構中被選出的在特定領域有傑出成就的研究人員。
院 , 專有名詞。姓。
院 , 普通名詞。用於較大型特定機構的名稱。常用接尾詞。
院長 , 普通名詞。以院為單位的機構的領導人。
陣 , 普通名詞。軍隊作戰時所布置的隊伍行列。
陣 , 普通名詞。隊伍。
陣 , 計算持續發生一段時間的動作的單位。
陣 , 計算持續發生一段時間的現象的單位。
除去 , 引介背景以與後述焦點做對比。
除去 , 從總數中扣掉不計算在內的項目。
除 , 去掉。
除去 , 消除後述對象使其不存在。
除去 , 移除後述對象使其不存在在特定空間範圍內。
除 , 引介不計算在內的對象。常用「除了...外」。
除 , 引介背景以與焦點做對比。
除此之外 , 句副詞。表已知前述對象包含在所屬範圍。
除此之外 , 句副詞。表排除前述指涉事項。
除 , 用一個數對另一個數做除法運算。
除非 , 關聯連接詞。連接充分而必要的條件。
陪伴 , 相陪作伴。
陪 , 形容在首都或主要城市以外另外設置的。
陪 , 相陪作伴。
陪 , 表與主事者一起進行後述事件，通常會從旁協助。
陰 , 專有名詞。姓。
陰 , 形容讓往生的人在陰間使用的。
陰 , 成對物品中具有相對的雌性特徵，多半是體型較小或外表缺乏凸出物。
陰 , 普通名詞。出自易經，中國傳統思想的兩大對立面之一，與「陽」相對。
陰 , 普通名詞。前述對象的影子所在的地方。
陰 , 普通名詞。比喻受到靈性存在物的影響的事件。常與「卡」連用。
陰 , 普通名詞。比喻由過去、現在、未來所構成的連綿不斷的系統。
陰 , 普通名詞。泛指特定直立物體背面，通常是碑或牌坊。
陰 , 普通名詞。雌性。
陰 , 設計謀害後述對象，使其遭遇不利的事。
陳 , 以文字或言語向特定對象表達情感或想法。
陳 , 地方詞。周朝諸侯國國名，原址約在今河南省舊開封以東至安徽省舊毫之間。
陳 , 安排人或運輸工具到特定地點執行任務。
陳 , 將特定對象以他人能觀察的方式呈現。
陳 , 專有名詞。周朝諸侯國之一，原址約在今河南省舊開封以東至安徽省舊毫之間。
陳 , 形容事物已經存在很久了。
陳情 , 陳述情況，多用於提出請求。
陳 , 時間詞。中國朝代名，南朝之一，西元557年至西元589年，由陳霸先所建。
陳 , 有規劃地陳列特定物品。
陳請 , 對有權力的人或機構陳述事件情況並提出請求。
陶冶 , Abcd
陶冶 , test
陶 , 專有名詞。姓。
陶 , 專有名詞。東晉文學家，名潛，一名淵明，字元亮，世稱「靖節先生」。「陶淵明」的縮寫。同義詞「陶淵明」。
陶 , 專有名詞。陶淵明的作品「陶淵明」的縮寫。同義詞「陶淵明」。
陶 , 形容陶質的。
陶 , 普通名詞。以黏土為主要材質燒製而成的器物。
陶 , 普通名詞。捏製或燒製陶器的技術。
陶醉 , 形容滿意地沈浸並享受於特定事物或意境。
陷 , 以不正當的方式誘使後述對象遭遇不利的事。常用「陷...於...」。
陷入 , 比喻處在後述負面狀態或事件中。
陷入 , 特定對象在後述物質內下沉而受困無法行動。
陷 , 受到後述封閉空間或物質的限制，而無法自由行動。
陷 , 土地被他人佔領。
陷 , 描述特定對象向內或向下凹，而比周圍的表面低。
陷 , 比喻被後述對象限制，無法不受其影響。
陸 , 地方詞。陸地上通行的道路。
陸地 , 普通名詞。人類居住行走的地方。
陸 , 數目字。整數，為五加一的和。
陸 , 普通名詞。在地面上作戰為主的軍種。「陸軍」的簡省。
陸 , 普通名詞。高出水平面的土地。
陸續 , 表一個接一個沒有間斷。
陽光 , 專有名詞。臺灣第一個為顏面傷殘同胞服務的基金會。「陽光社會福利基金會」的縮寫。
陽光 , 形容比喻公開的、在公眾的監督下進行的。
陽光 , 形容比喻有活力且讓人感覺溫馨的。
陽光 , 形容比喻特定事件有發展性的。
陽光 , 普通名詞。太陽發出的光和熱。
陽光 , 普通名詞。比喻公開的、可以被公眾監督的場合。
陽光 , 普通名詞。比喻快樂和希望。
陽 , 專有名詞。姓。
陽明 , 地方詞。陽明大學的建築物及建築所在的位置。「陽明大學」的縮寫。
陽明 , 專有名詞。明代儒學家，提倡知行合一學說。
陽明 , 專有名詞。臺灣公立大學之一，位於臺北市北投區。「陽明大學」的縮寫。
陽明山 , 地方詞。臺灣地名，位於臺北市郊。
陽明山 , 普通名詞。陽明山的文化。
陽明 , 普通名詞。王陽明的思想或作品。
陽 , 普通名詞。出自易經，中國傳統思想的兩大對立面之一，與「陰」相對。
陽 , 普通名詞。太陽發出的光和熱。
陽 , 普通名詞。成對物品中具有相對的雄性特徵，多半是體型較大或外表有凸出物。
陽 , 普通名詞。泛指特定直立物體正面，通常是碑或牌坊。
陽 , 普通名詞。臺灣海軍軍艦的類別名稱，驅除艦的名字都有「陽」字。
陽 , 普通名詞。雄性。
隆乳 , 用填充物使乳房豐滿，為整型方法的一種。
隆 , 地方詞。中國地名，位於四川盆地南部。「隆昌縣」的縮寫。
隆 , 地方詞。馬來西亞的首都。「吉隆坡」的縮寫。
隆 , 形容比喻特定事件狀態正面發展且熱烈的。
隆 , 形容比喻特定事件狀態變得正面發展且熱烈的。
隆 , 形容盛大而鄭重莊嚴的。
隆 , 擬聲詞。模擬音量大的聲音。
隆 , 普通名詞。物體表面凸起的部份。常用接尾詞。
隆 , 藉由整型手術使後述身體部位變高或變凸。
隆 , 重視後述對象並給予高度評價。
隊 , 普通名詞。成員具共同目標，個別分工的團體。常用接尾詞。
隊 , 計算行列的單位。
隋 , 專有名詞。姓。
隋 , 專有名詞。隋朝的國號或政權。
隋 , 時間詞。中國朝代名，西元581年至西元618年，隋文帝楊堅所建。
階 , 普通名詞。便於人往高處或低處移動的階梯。常用接尾詞。
階 , 普通名詞。地層年代分類單位的一種，在統之下，亞階之上。常用接尾詞。
階 , 普通名詞。比喻特定事件變化或發展時依照時序或發展段落分成的多個段落的其中一部分。
階 , 普通名詞。比喻特定組織架構中的職位等級。常用接尾詞。
階 , 普通名詞。比喻達到前述目標必須經過的階段。
階 , 普通名詞。階梯中多個平台中的一個。
階段 , 普通名詞。特定事件變化或發展時依照時序分成多個段落的其中一部分。
階級 , 普通名詞。比喻古時官職的等級。
階級 , 普通名詞。比喻社會組織結構中處於不同地位的社會族群。
階級 , 普通名詞。階梯中多個平台中的一個。
階 , 計算音程的單位。
隔 , 人與人之間有溝通障礙、形成隔閡，或在心理情感上與他人疏遠。
隔壁 , 同類並併排對象中從參考點算起的排序。
隔壁 , 地方詞。相鄰的位置。
隔壁 , 普通名詞。與特定對象居住位置相近的人。
隔壁 , 普通名詞。與特定對象居住位置相近的機構。
隔山 , 表間接。
隔岸 , 表河的對岸。
隔 , 引介事件重複出現的固定時間間隔，常接數量詞組，表示「每經過…時間」。
隔 , 引介事件重複出現的固定空間間隔，常接數量詞組，表示「每經過…距離」。
隔 , 時間上不連續，並有距離。
隔 , 空間上不連續，並有距離。
隔 , 空間上不連續，並有遮蔽物。
隔音 , 形容隔絕外界聲音的。
隔音 , 隔絕外界的聲音。
隙 , 形容比喻特定對象沒有被使用。
隙 , 普通名詞。比喻人與人之間不愉快的經驗或感覺。
隙 , 普通名詞。比喻在兩個相連事件間短暫的過度時段。常用接尾詞。
隙 , 普通名詞。比喻在多個負面事件影響下還可以活動的範圍。常用接尾詞。
隙 , 普通名詞。比喻特定事件進行時不容易找到或無法維持很久的適當時間。
隙 , 普通名詞。物體表面狹小細長的缺口。常用接尾詞。
隙 , 普通名詞。狹小細長的開口，可供其他對象通過。常用接尾詞。
隙 , 準量詞。計算不容易找到或無法維持很久的特定事件的單位。
隙 , 準量詞。計算從狹小細長開口中通過的線狀光線的單位。
隙 , 準量詞。計算從狹小細長開口看到的物體的單位。
際 , 位置詞。在前述對象所包含的空間範圍。
際 , 引介事件發生的時間。
際 , 引介事情或狀態發生的範圍。
際 , 引介兩個以上同類團體之間的關係。
際 , 普通名詞。事件發生的時間。
際 , 普通名詞。特定空間範圍內位於邊緣或分界的地點。常用接尾詞。
障 , 普通名詞。比喻阻礙事件進行的特定對象。
障 , 普通名詞。阻礙通行的物體。常用接尾詞。
障礙 , 普通名詞。比喻身體器官未發揮完整功用所導致的結果。
障礙 , 普通名詞。比喻阻礙事件進行的特定對象。
障礙 , 普通名詞。阻礙通行的物體。
障 , 阻止特定對象的前進。
隨便 , 在言談行為中表示讓步的同意或不做選擇讓說話者決定。
隨便 , 形容以輕率的態度做後述事件，不遵守規定。
隨便 , 形容在兩性關係或性行為上的態度比社會所接受的標準寬的。
隨便 , 表後述事件很容易做到。
隨便 , 關聯連接詞。連接任意的事件，表雖然事件進行的方式不同但結果相同。
隨俗 , 跟從所處環境的風俗或習慣做事。
隨即 , 表後述事件緊接著發生。
隨同 , 一起前往特定處所。
隨同 , 在某件事發生之後跟著改變行動或狀態。
隨同 , 將後述對象與其他物品放在一起送出。
隨同 , 跟從。
隨地 , 表不限於任何一處地面。
隨 , 專有名詞。易經卦名，易經六十四卦之一，震下兌上。
隨後 , 表後述事件緊接著發生。
隨手 , 表做一件事情時，很容易同時做其他事情。
隨手 , 表很容易完成的手部動作，近似於反射動作。
隨時 , 表不限於任何時間。
隨時 , 表有需要的時候立即做後述事件。
隨機 , 表利用所有遇到的機會。
隨機 , 表沒有預設，只靠機率。
隨機 , 表隨著所搭乘的班機。
隨處 , 表不限於任何一個地方。
隨 , 表兩事件在時間上前後緊密連接，強調沒有固定的時空。常用「隨…隨…」。
隨 , 跟從。
隨身 , 表擁有者攜帶在身上。
隨身 , 表跟著擁有者移動。
隨 , 關聯連接詞。連接任意的事件，表雖然事件進行的方式不同但結果相同。
險 , 形容地勢有很多阻礙不容易通行。
險 , 形容有傷害他人的意圖的。
險 , 普通名詞。地勢有很多阻礙不容易攻下的地方。
險 , 普通名詞。按期繳納費用給特定商業機構，該機構會對於特定原因所導致的損害負擔賠償財物的一種商業行為。常用接尾詞。「保險」的縮略。
險 , 普通名詞。發生意外或災害的可能性。
險 , 表事件結果或預期結果與判斷標準差距小。
隱 , 專有名詞。姓。
隱居 , 過著不與外界聯絡的生活。
隱 , 比喻特定對象隱藏在其他對象中而不易被瞭解。
隱 , 為使特定對象不被發覺而故意不表達。
隱 , 特定對象被其他對象遮掩住而不被看到。
隱 , 過著不與外界聯絡的生活。
隱隱 , 表不明確的感覺或觀察。
隴 , 地方詞。中國省名，位於陝西、四川、青海等地之間的區域。「甘肅省」的簡稱。
隴 , 地方詞。指隴山，位於寧夏、甘肅、陝西交界處的一座山，渭河與涇河的分水嶺。「隴山」的簡省。
隴 , 普通名詞。甘肅省的文化。
隴 , 普通名詞。田中分界處略微高起的長條部份。
隻 , 專有名詞。姓。
隻 , 計算船艦數量的單位。
隻 , 計算詩詞、歌曲、樂曲的單位。
雀躍 , 形容因為特定事件而感到高度良好的情緒。
雁 , 普通名詞。接尾詞。以雁為形象製成的人造物。
雁 , 普通名詞。鳥類名，鴨科雁屬候鳥，形狀似鵝，頸和翼較長，喜成群活動，飛行時成人字狀。常用接尾詞。
雄 , 地方詞。位於臺灣南部，介於臺東縣、屏東縣、臺南縣之間的地區。「高雄」的簡省。
雄 , 形容自然景觀規模大或地勢陡的。
雄 , 形容除了人以外的動物中能產生精細胞的性別。
雄 , 普通名詞。在競爭對象中較強的特定對象。
雄 , 普通名詞。成對物品中具有相對的雄性特徵，多半是體型較大或外表有凸出物。
雄 , 普通名詞。除了人以外能產生精細胞的動物。
雄 , 表氣勢大令人無法阻擋。
雅 , 專有名詞。姓。
雅 , 普通名詞。因相互往來而建立出的人際關係。
雅 , 普通名詞。接尾詞。古代專門解釋詞彙的著作。
雅 , 普通名詞。詩經裡的大雅、小雅，是王室貴族宴會時的樂歌。
雅 , 表事件從過去持續到現在。
集 , 使分散的後述對象聚集在一起。
集合 , 使分散的後述對象聚集在一起。
集合 , 普通名詞。具有特定屬性的同類對象所構成的類別。
集合 , 普通名詞。由抽象且地位相同的不同數學元素所組成的整體。
集合 , 有約定的不同的特定對象聚集在同一地點。
集合 , 為共同目標而聯繫或結合在一起。
集團 , 普通名詞。為了特定目的組織起來共同行動的團體。
集團 , 普通名詞。聯合或兼併其他相關企業而組成的一個商業團體。
集 , 地方詞。商品集中進行交易買賣的場所。
集 , 專有名詞。姓。
集 , 普通名詞。一系列的文字作品或影視作品的其中一個。
集 , 普通名詞。中國古代圖書目錄四部分類之一，指詩文作品。
集 , 普通名詞。接尾詞。收錄集結特定同類作品編成的書。
集會 , 多人聚在一起討論事項。
集會 , 許多人聚集開會。
集體 , 形容多個個體集合成一個有組織的整體。
集體 , 普通名詞。多個個體集合成一個有組織的整體。
集體 , 表多個個體集合成一個整體。
雇 , 以金錢做為報酬請他人做事。
雌 , 形容植物中可生產果實的。
雌 , 形容除了人以外的動物中能產生卵細胞並具生產後代能力的性別。
雌 , 成對物品中具有相對的雌性特徵，多半是體型較小或外表缺乏凸出物。
雌 , 普通名詞。除了人以外具有生產後代能力的動物。
雕 , 專有名詞。姓。
雕 , 形容有雕刻圖形的。
雕 , 普通名詞。接尾詞。利用工具所雕刻的藝術作品。
雕 , 普通名詞。猛禽類，鷹的一種，嘴呈?狀，飛行能力和視力都很強。常用接尾詞。
雕 , 用工具去除塑材的一部份，創造出特定的形體。
雕 , 用工具去除物體的一部分，使其顯現出後述的文字圖形或形狀。
雖然 , 關聯連接詞。連接不影響後述事實的條件，隱含讓步，常與「卻、但」連用。
雖說 , 關聯連接詞。連接不影響後述事實的條件，隱含讓步，常與「卻、但」連用。
雖 , 關聯連接詞。連接不影響後述事實的條件，隱含讓步，常與「卻、但」連用。
雙向 , 形容比喻事件進行的方向有兩個。
雙向 , 形容運動的方向有兩個。
雙子座 , [占星學]專有名詞。西洋十二星座之一，五月二十一日至六月二十日之間出生者的命宮。
雙子座 , [占星學]普通名詞。雙子座的人。
雙子座 , [天文學]專有名詞。星座名，星群排列像兩位男生，其中二顆最明亮的星是他們的頭部。
雙 , 專有名詞。姓。
雙 , 形容有兩個成對或同類的成員或個體的。
雙方 , 事件裡處於相對地位的兩個人或兩團體的代稱。
雙 , 計算兩個成對的人或物的單位。
雙邊 , 形容事件裡處於相對地位的兩團體的，通常用於國家之間的。
雙邊 , 形容特定對象的兩端點。
雙重 , 形容具有兩個不同方面的。
雙重 , 形容比喻程度加倍的。
雙雙 , 表兩人同時經歷後述事件。
雙魚座 , 專有名詞。星座名，由六顆小星組成，形狀像兩條魚。
雙魚座 , 專有名詞。西洋十二星座之一，二月十九日至三月二十日之間出生者的命宮。
雙魚座 , 普通名詞。雙魚座的人。
雜 , 形容多而不專精的。
雜 , 形容瑣碎且繁複的。
雜 , 普通名詞。國劇裡扮演供役使奔走的人。
雜誌 , 普通名詞。有特定主題並提供各式訊息的定期出版品。
雜誌 , 普通名詞。有特定主題並提供各式訊息的定期出版品的組織。
雜貨店 , 地方詞。販賣各種日常用品的店鋪。
雜 , 類似的兩種以上對象在同一空間範圍內同時存在。
雞 , 普通名詞。中國十二生肖之一，排在第十位。
雞 , 普通名詞。接尾詞。以雞為形象製成的人造物。
雞 , 普通名詞。提供性服務以賺取金錢的女子。
雞 , 普通名詞。生肖屬雞的人。
雞 , 普通名詞。脊椎動物，家禽，卵生，身上有羽毛，有翅膀但不善飛行。常用接尾詞。
離 , 分開。
離別 , 離開親密的人或地，不知道什麼時候再相見。
離去 , 比喻生物失去生命。
離去 , 離開原來所在的地點。
離婚 , 依據法定程續解除婚姻關係。
離 , 專有名詞。易經卦名，八卦之一，代表火、日、電。
離島 , 地方詞。與本島或大陸距離較遠的海島。
離 , 引介兩事件間隔的時間範圍。
離 , 引介兩地點的空間範圍。
離 , 引介兩抽象事件的相差程度。
離 , 從觀察者的方向，與後述對象分開。
離散 , 分開，不聚在一起，多用在親屬。
離散 , 非連續，分散的。
離棄 , 不顧原本對後述對象的責任，主動切斷與之間的連結。
離鄉背井 , 離開家鄉，到外地生活。
離開 , 普通名詞。聊天程式中的一種狀態，表示使用者目前離開。
離開 , 離開原來所在的地點。
離開 , 離開執行程式。
難以為繼 , 沒有辦法繼續維持或進行，通常指有經濟困難。
難以置信 , 前述的事實超乎預期，很難令人相信。
難免 , 形容後述情形是不可避免的。
難受 , 形容心裡因傷心而感到不舒服。
難受 , 難以忍受。
難 , 形容特定事件無法輕易達成。
難得 , 形容不常出現或發生的次數少的，隱含可貴的意思。
難忘 , 印象深刻，不容易忘記。
難怪 , 形容後述出乎預料的事件由於明白原因而可以接受。
難 , 普通名詞。外在因素所引起的傷害與苦難。
難 , 表後述事件發生的可能性小。
難 , 表物品的特定性質不令人滿意。
難過 , 因負面的事而內心感到痛苦。
難過 , 難以忍受。
難道 , 表對前述事件提出反問的語氣。
雨 , 普通名詞。接尾詞。比喻由空中落下的事物。
雨 , 普通名詞。由雲層中落到地面的水。
雨林 , 普通名詞。森林類型之一，分佈於赤道附近高溫多雨，樹種多且多為闊葉常綠喬木的樹林地區。
雨 , 雲層的水以水滴的形態降到地上。
雪 , 普通名詞。水氣在零度以下所凝結成的六角形白色晶體。
雪梨 , 地方詞。澳洲第一大城，位於澳洲東部，瀕太平洋。
雪梨 , 普通名詞。薔薇科棠梨屬，葉呈長橢圓形，邊緣鋸齒狀，果實球形，肉質細嫩，色白如雪。
雪梨 , 普通名詞。雪梨樹的果實。
雪梨 , 普通名詞。雪梨的文化。
雪 , 洗刷後述恥辱。
雪白 , 形容顏色為白色的，像雪一樣的。
雪白 , 普通名詞。像雪一樣的白色。
雲 , 地方詞。中國省名，位於雲嶺之南，東界廣西、貴州，東北界四川，西北界西康，西與西南界緬甸，南界越南。「雲南」的簡稱。
雲 , 普通名詞。在空中漂浮，形狀多變的團狀物，是由水蒸氣遇冷凝結的小水滴或冰晶形成的。
雲 , 普通名詞。形狀像雲或以雲形為裝飾的人造物。
雲 , 普通名詞。雲南的文化。
雲林 , 地方詞。位於臺灣中部，介於彰化縣、南投縣、嘉義縣之間的地區。
雲林 , 普通名詞。雲林的文化。
雲門 , 專有名詞。中國古時候黃帝時代的祭祀樂舞，六樂之一。
雲門 , 專有名詞。臺灣第一個職業現代舞團，由林懷民於民國六十二年創立。「雲門舞集」的縮寫。
雲門 , 專有名詞。雲門舞集的作品。「雲門舞集」的縮寫。
雲門舞集 , 專有名詞。臺灣第一個職業現代舞團，由林懷民於民國六十二年創立。
雲門舞集 , 專有名詞。雲門舞集的作品。
零 , 專有名詞。姓。
零 , 形容將整體對象分批或分次處理。
零星 , 形容量少且不集中的。
零 , 普通名詞。比喻什麼都沒有。
零 , 普通名詞。零錢。
雷同 , 跟所指事物的特徵幾乎一樣。
雷 , 專有名詞。姓。
雷 , 普通名詞。大氣放電時，所發出的巨響。
雷 , 普通名詞。會引起受事者憤怒或厭惡的特定對象。
雷 , 普通名詞。比喻劇情的發展或結局。
雷 , 普通名詞。比喻特定對象比預期差很多的事件。
雷 , 普通名詞。爆炸武器。常用接尾詞。
雷 , 比喻在不願意的情況下知道特定劇情的發展或結局。
電 , 使電流加在動物或人的身體。
電傳 , 利用光電效應的通訊方式，通過有線電或無線電裝置把照片圖表、書信、文件等真跡傳送到遠方。
電傳 , 普通名詞。利用電子訊號傳遞訊息。
電傳 , 普通名詞。指利用光電效應的通訊方式，通過有線電或無線電裝置的通訊方式所傳送到遠方的照片、圖表、書信和文件等。
電 , 利用電話裝置與人通話。「打電話」的簡省。
電動 , 形容使用電力為驅動的。
電動 , 普通名詞。使用電腦或特定遊戲機進行的遊戲。「電動玩具」的簡省。
電動玩具 , 普通名詞。使用電腦或特定遊戲機進行的遊戲。
電器 , 普通名詞。利用電作為動力來源的器具。
電影 , 普通名詞。利用強光映射在螢幕上，以供人觀賞的活動影戲。
電影 , 普通名詞。在電視上播放電影的頻道。在電視上播放電影的頻道的簡省。
電影 , 普通名詞。影片工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
電影 , 普通名詞。電影相關學科的簡省。
電影院 , 地方詞。專為播放電影而建的建築。
電影院 , 地方詞。播放電影的場所。
電 , 普通名詞。以電訊或電報傳播的新聞。
電 , 普通名詞。發電機所產生的電能量。
電 , 普通名詞。空中帶電的雲氣，相互摩擦時所發的閃光。常與「雷」連用。
電 , 普通名詞。電子和質子運動所產生的能量。
電氣 , 普通名詞。一種利用電產生能量的方式。
電 , 瞬間受到他人吸引。
電腦 , 普通名詞。一種資料處理裝置，能自動接受並儲存、處理輸入的資料，然後經由一組預先存放在機器內的指令逐步引導下產生輸出結果。
電腦 , 普通名詞。比喻計算或記憶能力很強的人。
電腦 , 普通名詞。研究或操作電腦的知識。
電視 , 普通名詞。接收並呈現無線電波所傳輸影像訊號的裝置。
電視 , 普通名詞。與電視節目製作相關的工業，包括週邊相關的所有活動，常出現在比喻的用法中，當作一個圈子或範圍。
電視 , 普通名詞。電視公司或頻道。電視公司或頻道的簡省。常用接尾詞。
電視 , 普通名詞。電視相關學科的簡省。
電話 , 事件名詞。經由電話裝置所傳達的訊息。
電話 , 普通名詞。利用電傳輸語音訊號，使兩地間能互相通話的通訊系統與裝置。
電話 , 普通名詞。由數字構成，代表特定電話線路的系統。「電話號碼」的簡省。
電路 , 普通名詞。電流由電源經導線至電器的迴路。
需 , 前述事件因特定理由而仰賴後述對象。
需求 , 普通名詞。因缺乏必要對象而產生的內在心理狀態。
需求 , 普通名詞。在特定時間、市場，依特定價格而獲得滿足的商品量。
需求 , 普通名詞。特定對象所仰賴的其他對象。
需要 , 前述事件因特定理由而仰賴後述對象。
需要 , 因缺乏必要對象而產生的內在心理狀態。
需要 , 普通名詞。在特定時間、市場，依特定價格而獲得滿足的商品量。
震 , 以相當大的力量震動搖撼後述對象。
震 , 以聲波產生共鳴震動而可能破壞內部組織。
震 , 專有名詞。易經卦名，八卦之一，代表雷電。
震怒 , 形容因不符合自己的心意而產生的負面情緒。
震撼 , 以相當大的力量震動搖撼後述對象。
震撼 , 比喻受到極大的刺激而撼動。
震 , 普通名詞。因地底的活動所引起的地殼震動。
震 , 比喻名氣很大，在後述範圍內受到尊重。
震 , 比喻發出的聲音強且大，影響範圍廣。
震 , 物體受外力影響而搖動。
霍 , 專有名詞。姓。
霜 , 專有名詞。姓。
霜 , 形容物體像霜一樣白的。
霜 , 普通名詞。接尾詞。形狀像霜的結晶物。
霜 , 普通名詞。接尾詞。膏狀物，只用於保養品。
霜 , 普通名詞。接近地面的水蒸氣，遇冷而凝結在物體表面的白色結晶顆粒。
霞 , 普通名詞。漢族的傳統新娘服。
霞 , 普通名詞。陽光照射在雲層上使雲層呈現紅色系光彩的自然現象，通常發生在日出或日落時。
霧 , 形容產生狀態像霧的。
霧 , 普通名詞。像霧的許多小水滴。
霧 , 普通名詞。懸浮在接近地面的小水滴，會使視線模糊而看不清。
霧 , 普通名詞。玻璃表面的水氣，通常會影響視線。
露 , 不隱藏後述對象讓他人看見。
露 , 專有名詞。姓。
露 , 普通名詞。因晚上溫度下降而在物體表面凝結而成的小水滴。常用接尾詞。
露 , 普通名詞。用花、果實、藥材等天然材料萃取而成高濃度的材料，通常用於藥品或食品。常用接尾詞。
露 , 比喻透露不該讓他人知道的事。
露營 , 在野外搭帳蓬過夜。
露營 , 普通名詞。在野外搭帳蓬過夜的休閒活動。
露面 , 比喻在公開的場合中出現。
露面 , 被看見。
露 , 顯示出後述可被觀察的狀態。
霸 , 在特定領域中能力超越其他對象。
霸 , 強行佔據特定對象的使用權。
霸 , 普通名詞。在特定領域中獲得勝利的事件。
霸 , 普通名詞。在特定領域中能力超越其他對象的特定對象，通常帶有負面評價。
霸 , 普通名詞。接尾詞。強行佔據前述對象使用權的人。
靈 , 專有名詞。姓。
靈 , 形容特定對象可以正常運作。
靈敏 , 形容對外界刺激的反應迅速。
靈 , 普通名詞。心靈精神。
靈 , 普通名詞。靈性存在物。常用接尾詞。
靈活 , 形容事物富有變化。
靈活 , 形容反應輕巧而敏捷。
靈活 , 形容能夠迅速妥善處理各種情況。
靈魂 , 普通名詞。相對於肉體軀殼的抽象精神心靈。
靈魂 , 普通名詞。群體中的重要核心人物。
青 , 地方詞。中國省名，位於四川省、甘肅省、新疆維吾爾自治區、西藏自治區之間的區域。「青海省」的簡稱。
青少年 , 普通名詞。介於兒童、成人間仍在青春期階段的人，約在十二歲至成年之間。
青少年 , 普通名詞。介於兒童、成人間的青春期階段，約在十二至成年之間。
青少年 , 普通名詞。青年和少年的通稱。
青年 , 普通名詞。介於少年、中年間年齡階段的人，約在二十至五十歲之間。
青年 , 普通名詞。介於少年、中年間的年齡階段，約在二十至五十歲之間。
青 , 形容比喻受到驚嚇而臉部蒼白。
青 , 形容比喻因瘀血而使皮膚變成暗色。
青 , 形容比喻因缺氧而使皮膚呈現暗色。
青 , 形容色譜上最暗，可以吸收所有光線的。
青 , 形容顏色為綠的，像草或樹葉的。
青 , 形容食物新鮮、未腐壞的。
青 , 普通名詞。在特定領域中，進入領域資歷比較淺的人。
青 , 普通名詞。在色譜上介於黃色和紫色的顏色。
青睞 , 受歡迎、受到重視。
青睞 , 普通名詞。特別的喜愛和重視。
靛 , 專有名詞。姓。
靛 , 形容顏色為靛色的。
靛 , 普通名詞。光譜上的顏色，在藍、紫之間。
靜 , 使特定對象心思情緒安定。
靜 , 形容物體由激動的狀態變成穩定的狀態。
靜 , 形容變得安靜。
非但 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
非 , 前述事件與後述事件不相等。
非 , 地方詞。世界七大洲之一，為第二大洲，涵蓋非洲大陸及其周圍的島嶼。「非洲」的簡省。
